,first_prize,first_prize_size,prize_pool,resrult_bef1,resrult_bef2,resrult_bef3,resrult_bef4,resrult_bef5,resrult_beh1,resrult_beh2,result_day,result_num,second_prize,second_prize_size,total_bet_amount
0,"10,000,000",4,"2,450,995,411",3,6,9,23,34,2,11,2019/10/19,19119,"611,893",83,"296,906,555"
1,"10,000,000",2,"2,505,219,109",2,3,13,19,26,2,3,2019/10/16,19118,"406,469",101,"272,734,633"
2,"10,000,000",4,"2,510,705,016",1,18,21,25,35,7,8,2019/10/14,19117,"806,808",66,"271,077,215"
3,"10,000,000",4,"2,540,591,129",2,10,16,21,23,2,12,2019/10/12,19116,"770,679",87,"297,819,968"
4,"10,000,000",6,"2,576,114,778",1,18,21,28,32,5,12,2019/10/9,19115,"498,979",105,"286,493,206"
5,"10,000,000",3,"2,618,860,320",3,5,7,20,23,4,11,2019/9/30,19114,"710,140",75,"293,032,964"
6,"10,000,000",2,"2,630,473,138",3,11,27,34,35,1,2,2019/9/28,19113,"620,026",96,"311,100,525"
7,"10,000,000",13,"2,636,508,289",3,10,16,21,33,5,6,2019/9/25,19112,"44,488",573,"280,910,162"
8,"10,000,000",4,"2,773,019,555",6,15,20,23,27,8,10,2019/9/23,19111,"523,219",91,"278,838,967"
9,"10,000,000",3,"2,796,874,880",1,19,23,24,30,4,5,2019/9/21,19110,"625,724",85,"304,148,169"
10,"10,000,000",1,"2,807,779,067",2,7,8,20,25,11,12,2019/9/18,19109,"449,539",89,"280,419,217"
11,"10,000,000",2,"2,810,944,267",24,27,28,31,34,4,8,2019/9/16,19108,"818,390",55,"284,940,682"
12,"10,000,000",4,"2,814,001,476",5,9,19,27,35,2,3,2019/9/14,19107,"197,483",181,"293,549,724"
13,"10,000,000",1,"2,849,290,615",5,8,10,32,35,2,10,2019/9/11,19106,"517,027",106,"277,501,958"
14,"10,000,000",2,"2,849,032,904",1,4,9,14,17,1,6,2019/9/9,19105,"286,226",151,"276,792,452"
15,"10,000,000",3,"2,854,646,726",2,7,19,22,28,3,5,2019/9/7,19104,"279,809",179,"307,889,648"
16,"10,000,000",9,"2,866,542,333",5,12,22,27,32,4,7,2019/9/4,19103,"115,804",238,"282,169,207"
17,"10,000,000",1,"2,971,122,369",5,10,15,19,31,3,6,2019/9/2,19102,"238,519",180,"294,439,142"
18,"10,000,000",6,"2,965,514,601",5,11,18,19,27,5,6,2019/8/31,19101,"131,997",264,"317,232,101"
19,"10,000,000",13,"3,013,571,194",5,8,12,19,21,6,11,2019/8/28,19100,"97,237",228,"285,699,001"
20,"10,000,000",19,"3,199,540,848",4,6,18,27,33,7,9,2019/8/26,19099,"60,832",345,"264,966,797"
21,"10,000,000",7,"3,413,905,651",13,15,17,19,22,3,4,2019/8/24,19098,"561,592",87,"283,264,604"
22,"10,000,000",3,"3,499,337,221",10,17,20,30,35,10,12,2019/8/21,19097,"935,083",51,"265,934,781"
23,"10,000,000",1,"3,519,455,539",2,12,22,23,27,2,6,2019/8/19,19096,"527,784",96,"264,716,811"
24,"10,000,000",7,"3,519,353,885",3,12,17,19,31,2,6,2019/8/17,19095,"383,903",114,"285,599,790"
25,"10,000,000",1,"3,605,111,819",1,12,14,26,27,7,9,2019/8/14,19094,"786,871",57,"268,760,225"
26,"10,000,000",9,"3,598,377,683",16,17,26,29,35,1,7,2019/8/12,19093,"284,575",113,"263,591,081"
27,"10,000,000",4,"3,693,574,033",2,11,15,27,30,2,5,2019/8/10,19092,"422,984",115,"282,457,933"
28,"10,000,000",1,"3,724,322,763",4,13,20,26,28,3,12,2019/8/7,19091,"731,621",68,"269,521,488"
29,"10,000,000",2,"3,716,328,636",13,19,28,30,33,2,12,2019/8/5,19090,"1,057,313",47,"267,395,452"
30,"10,000,000",4,"3,719,449,576",9,14,18,33,34,3,12,2019/8/3,19089,"614,487",83,"297,660,456"
31,"10,000,000",7,"3,755,102,164",1,5,18,27,33,6,8,2019/7/31,19088,"627,469",76,"270,234,407"
32,"10,000,000",10,"3,816,395,392",5,6,18,19,27,7,12,2019/7/29,19087,"225,581",144,"265,658,108"
33,"10,000,000",15,"3,904,840,978",5,15,16,28,31,2,7,2019/7/27,19086,"103,760",266,"288,257,269"
34,"10,000,000",3,"4,061,417,389",4,5,6,15,26,8,11,2019/7/24,19085,"441,006",97,"266,144,001"
35,"10,000,000",2,"4,085,660,246",12,23,25,34,35,1,7,2019/7/22,19084,"639,090",88,"267,484,415"
36,"10,000,000",2,"4,096,211,433",17,24,26,28,32,7,9,2019/7/20,19083,"425,427",108,"292,813,014"
37,"10,000,000",7,"4,117,332,393",6,18,20,21,31,3,4,2019/7/17,19082,"611,256",74,"271,428,141"
38,"10,000,000",3,"4,186,160,786",6,24,26,30,33,2,7,2019/7/15,19081,"873,889",58,"272,912,117"
39,"10,000,000",6,"4,212,738,028",5,13,18,19,24,2,7,2019/7/13,19080,"306,022",127,"296,452,290"
40,"10,000,000",4,"4,282,392,621",10,13,16,28,35,4,5,2019/7/10,19079,"704,932",75,"271,256,673"
41,0,0,"4,306,208,094",5,10,21,26,30,1,7,2019/7/8,19078,"524,589",117,"272,470,927"
42,"10,000,000",1,"4,306,208,094",1,15,17,21,33,7,10,2019/7/6,19077,"893,219",58,"293,644,337"
43,"10,000,000",5,"4,297,766,552",1,6,11,23,29,1,11,2019/7/3,19076,"740,286",68,"266,685,847"
44,"10,000,000",4,"4,329,058,171",5,6,7,11,16,2,11,2019/7/1,19075,"360,251",102,"264,828,767"
45,"10,000,000",3,"4,372,011,525",8,9,13,14,34,5,7,2019/6/29,19074,"542,497",90,"301,323,048"
46,"10,000,000",2,"4,382,364,770",4,11,19,20,24,8,11,2019/6/26,19073,"176,485",176,"271,821,466"
47,"10,000,000",1,"4,390,457,899",2,4,6,9,18,7,10,2019/6/24,19072,"481,312",81,"269,398,842"
48,"10,000,000",5,"4,386,203,654",7,13,14,15,22,7,11,2019/6/22,19071,"412,686",108,"295,494,008"
49,"10,000,000",1,"4,419,628,452",2,13,15,22,34,2,12,2019/6/19,19070,"1,186,548",43,"271,071,777"
50,"10,000,000",13,"4,409,347,604",8,22,23,33,34,4,6,2019/6/17,19069,"664,345",76,"277,867,343"
51,"10,000,000",6,"4,527,560,332",4,5,8,17,27,6,11,2019/6/15,19068,"570,619",71,"302,523,734"
52,"10,000,000",6,"4,596,914,428",3,8,11,15,16,2,10,2019/6/12,19067,"534,981",102,"281,702,303"
53,"10,000,000",5,"4,639,229,846",4,10,11,18,31,5,8,2019/6/10,19066,"265,113",128,"272,861,483"
54,"10,000,000",3,"4,677,385,385",3,8,10,23,27,2,12,2019/6/8,19065,"491,543",102,"295,446,062"
55,0,0,"4,705,583,932",7,8,13,19,29,11,12,2019/6/5,19064,"418,043",106,"277,172,405"
56,"10,000,000",7,"4,705,583,932",5,8,15,18,21,4,8,2019/6/3,19063,"192,105",158,"269,890,522"
57,"10,000,000",5,"4,764,031,989",5,16,23,25,28,1,12,2019/6/1,19062,"242,083",170,"292,876,443"
58,"10,000,000",4,"4,808,403,292",1,2,13,14,26,5,11,2019/5/29,19061,"436,775",101,"272,417,820"
59,0,0,"4,833,102,719",1,11,12,18,21,8,10,2019/5/27,19060,"709,472",93,"269,705,099"
60,"10,000,000",3,"4,833,102,719",7,8,15,27,32,8,12,2019/5/25,19059,"362,522",127,"301,599,968"
61,"10,000,000",5,"4,845,045,372",3,10,13,14,32,7,11,2019/5/22,19058,"645,666",64,"275,571,204"
62,"10,000,000",3,"4,894,582,543",8,14,16,34,35,6,12,2019/5/20,19057,"571,549",81,"276,199,961"
63,"10,000,000",5,"4,915,397,955",1,7,10,12,23,6,8,2019/5/18,19056,"521,758",100,"305,996,270"
64,"10,000,000",3,"4,963,149,792",2,4,6,19,22,2,6,2019/5/15,19055,"569,761",74,"283,602,540"
65,"10,000,000",29,"4,984,758,180",2,18,23,27,30,5,10,2019/5/13,19054,"111,076",212,"276,149,811"
66,"10,000,000",1,"5,323,214,069",1,11,19,26,35,11,12,2019/5/11,19053,"626,159",94,"302,681,393"
67,"10,000,000",4,"5,313,363,213",4,10,15,20,24,7,11,2019/5/8,19052,"486,630",95,"276,499,358"
68,"10,000,000",1,"5,344,151,471",11,15,16,20,29,4,8,2019/5/6,19051,"500,949",84,"271,425,230"
69,"10,000,000",3,"5,336,065,897",4,15,16,20,35,3,12,2019/5/4,19050,"1,084,514",46,"285,832,883"
70,"10,000,000",4,"5,347,345,506",10,16,22,26,27,7,11,2019/5/1,19049,"517,399",101,"258,571,922"
71,"10,000,000",5,"5,385,687,606",6,10,16,29,33,5,11,2019/4/29,19048,"229,553",175,"277,776,696"
72,"10,000,000",7,"5,438,181,603",3,4,10,16,32,4,9,2019/4/27,19047,"419,370",107,"301,841,890"
73,"10,000,000",5,"5,516,686,407",2,8,14,15,35,10,12,2019/4/24,19046,"198,355",215,"279,781,730"
74,"10,000,000",36,"5,552,688,626",1,4,16,19,33,3,12,2019/4/22,19045,"91,568",263,"266,773,843"
75,"10,000,000",3,"6,008,098,541",3,6,10,12,31,1,2,2019/4/20,19044,"687,437",81,"297,670,249"
76,"10,000,000",17,"6,017,894,923",2,6,7,12,15,6,12,2019/4/17,19043,"729,171",68,"265,838,829"
77,"10,000,000",6,"6,274,619,165",4,10,13,28,33,11,12,2019/4/15,19042,"555,574",79,"266,281,814"
